ID,Name,Level,Alignment,Size,Traits,Perception,Languages,Skills,Str,Dex,Con,Int,Wis,Cha,AC,Fort,Ref,Will,HP,Resistances,Speed,Source
1,Unseen Servant,-1,,Medium,Mindless,+0; darkvision,- (understands its creator),Stealth +8,-4,+2,+0,-5,+0,+0,13,+0,+4,+0,4,all damage 5 (except,fly 30 feet,Core Rulebook pg. 380
2,Alghollthu Master (Aboleth),7,LE,Huge,"Aberration, Aquatic",+17; darkvision,"Aklo, Alghollthu, Aquan, Common, Undercommon","Athletics +16, Deception +15, Intimidation +15, Lore +14 (any one subcategory), Occultism +16",+5,+1,+6,+3,+5,+4,23,+15,+10,+16,135,,"10 feet, swim 60 feet",Bestiary pg. 14
3,Skum (Ulat-Kini),2,LE,Medium,"Amphibious, Humanoid",+6; darkvision,"Alghollthu, Undercommon","Athletics +8, Intimidation +4, Stealth +7",+4,+1,+3,+0,+0,-2,16,+7,+7,+4,40,,"20 feet, swim 40 feet",Bestiary pg. 12
4,Faceless Stalker (Ugothol),4,CE,Medium,Aberration,+10; darkvision,"Alghollthu, Aquan, Common, tongues","Acrobatics +12, Athletics +12, Deception +13, Stealth +13, Thievery +9",+4,+3,+3,+0,+2,+3,21,+9,+9,+12; +2 status to all saves vs. auditory and visual,60,bludgeoning 5,25 feet,Bestiary pg. 13
5,Veiled Master (Vidileth),14,LE,Large,"Aberration, Aquatic",+25; darkvision,"Aklo, Alghollthu, Aquan, Common, Undercommon, tongues","Arcana +27, Athletics +24, Deception +28, Intimidation +26, Lore +29 (any one subcategory), Occultism +29, Society +27, Stealth +24",+6,+6,+8,+7,+5,+6,34,+26,+22,+24; +2 status to all saves vs. magic,270,,"10 feet, swim 80 feet",Bestiary pg. 14
6,Arbiter,1,LN,Tiny,"Aeon, Inevitable, Monitor","+7; darkvision, (chaotic only), locate inevitable","Celestial, Common, Infernal, Utopian","Acrobatics +9, Axis Lore +5, Diplomacy +6, Stealth +9",+1,+4,+2,+0,+2,+1,16,+5,+7,+7; +1 status to all saves vs. magic,22,,"20 feet, fly 40 feet",Bestiary pg. 8
7,Axiomite,8,LN,Medium,"Aeon, Monitor",+19; darkvision,"Abyssal, Celestial, Common, Draconic, Infernal, Utopian","Acrobatics +16, Axis Lore +17, Crafting +21, Diplomacy +15, Occultism +17, Religion +17",+5,+4,+3,+5,+5,+3,26,+13,+16,+18; +1 status to all saves vs. magic,155,,25 feet,Bestiary pg. 9
10,Kolyarut,12,LN,Medium,"Aeon, Inevitable, Monitor",+23; (+27 to detect lies); darkvision,"Celestial, Infernal, Utopian, ; truespeech","Acrobatics +22, Athletics +27, Axis Lore +22, Deception +20, Diplomacy +20, Survival +22",+7,+4,+5,+1,+4,+2,34,+23,+24,+22; +1 status to all saves vs. magic,215 regeneration 15 (deactivated by chaotic),,25 feet,Bestiary pg. 10
11,Pleroma,20,LN,Large,"Aeon, Monitor","+37; darkvision, lifesense 120 feet,",envisioning,"Acrobatics +33, Arcana +38, Deception +34, Diplomacy +34, Occultism +38, Religion +39, Stealth +35",+6,+7,+6,+8,+9,+6,45,+32,+31,+37; +1 status to all saves vs. magic,335 regeneration 20 (deactivated by chaotic),,fly 40 feet;,Bestiary pg. 10
13,Cassisian (Archive Angel),1,NG,Tiny,"Angel, Celestial",+6; darkvision,"Celestial, Common, Draconic, Infernal","Acrobatics +6, Diplomacy +6, Religion +6, Stealth +6",-1,+1,+2,-1,+1,+1,18 +1 status vs. evil creatures,+7,+6,+4; +1 status to all saves vs. evil creatures,20,,Fly 40 feet,Bestiary pg. 16
14,Choral (Choir Angel),6,NG,Small,"Angel, Celestial",+14; darkvision,"Celestial, Draconic, Infernal, tongues","Acrobatics +12, Diplomacy +15, Performance +17, Religion +14",+1,+4,+2,+3,+4,+5,24,+10,+14,+16; +1 status to all saves vs. magic,100,,"30 feet, fly 40 feet",Bestiary pg. 17
15,Balisse (Confessor Angel),8,NG,Medium,"Angel, Celestial",+18; (+20 to detect lies and illusions); darkvision,"Celestial, Draconic, Infernal, tongues","Acrobatics +14, Diplomacy +17, Religion +18",+5,+2,+4,+1,+6,+5,26,+16,+12,+18; +1 status to all saves vs. magic,145,,"30 feet, fly 40 feet",Bestiary pg. 18
16,Astral Deva (Emissary Angel),14,NG,Medium,"Angel, Celestial",+26; darkvision,"Celestial, Draconic, Infernal, tongues","Acrobatics +24, Diplomacy +26, Intimidation +28, Religion +24",+8,+4,+5,+4,+4,+6,36,+27,+26,+22; +1 status to all saves vs. magic,285,,"40 feet, fly 75 feet",Bestiary pg. 19
18,Animated Broom,-1,N,Small,"Construct, Mindless",+3; darkvision,UNKNOWN,Athletics +5,+0,+1,+0,-5,+0,-5,16 (14 when broken); construct armor,+3,+6,+3,6,,15 feet,Bestiary pg. 20
19,Animated Armor,2,N,Medium,"Construct, Mindless",+6; darkvision,UNKNOWN,Athletics +9,+3,-3,+4,-5,+0,-5,17 (13 when broken); construct armor,+10,+3,+4,20,,20 feet,Bestiary pg. 20
20,Animated Statue,3,N,Medium,"Construct, Earth, Mindless",+9; darkvision,UNKNOWN,Athletics +11,+4,-2,+5,-5,+0,-5,19 (15 when broken); construct armor,+12,+5,+5,35,,20 feet,Bestiary pg. 21
23,Ankhrav,3,N,Large,Animal,"+7; darkvision, tremorsense (imprecise) 60 feet",UNKNOWN,"Acrobatics +6, Athletics +11, Stealth +8",+4,+1,+3,-4,+0,-2,20,+12,+8,+7,40,,"25 feet, burrow 20 feet",Bestiary pg. 22
24,Hive Mother,8,N,Huge,Animal,"+16; darkvision, tremorsense (imprecise) 90 feet",UNKNOWN,"Acrobatics +13, Athletics +20, Stealth +11, Survival +16",+6,+1,+4,-4,+2,-2,29,+18,+15,+14,120,,"25 feet, burrow 20 feet",Bestiary pg. 22
25,Gorilla,3,N,Large,Animal,"+8; low-light vision, scent (imprecise) 30 feet",UNKNOWN,"Acrobatics +9, Athletics +11, Stealth +7",+4,+2,+3,-4,+1,-2,19,+12,+9,+6,45,,"30 feet, climb 30 feet",Bestiary pg. 23
26,Megaprimatus,8,N,Gargantuan,Animal,"+15; low-light vision, scent (imprecise) 30 feet",UNKNOWN,"Acrobatics +14, Athletics +19",+7,+2,+5,-4,+1,+2,26,+19,+16,+13,150,,"30 feet, climb 30 feet",Bestiary pg. 23
27,Arboreal Warden,4,NG,Large,Plant,+11; low-light vision,"Arboreal, Common, Sylvan","Athletics +13, Stealth +9 (+14 in forests)",+5,+1,+3,+1,+3,+1,20 (22 with shield raised),+13,+9,+11,75,bludgeoning 5 piercing 5,25 feet,Bestiary pg. 24
28,Awakened Tree,6,N,Huge,Plant,+13; low-light vision,"Arboreal, ; (can’t speak any language)","Athletics +14, Stealth +9 (+14 in forests)",+6,-1,+6,-5,+3,+0,22,+16,+9,+13,100,bludgeoning 5 piercing 5,20 feet,Bestiary pg. 25
29,Arboreal Regent,8,NG,Huge,Plant,+18; low-light vision,"Arboreal, Common, Sylvan, speak with plants","Athletics +19, Diplomacy +16, Intimidation +16, Nature +18, Stealth +11 (+21 in forests)",+7,-1,+6,+1,+4,+2,26,+20,+11,+16,150,bludgeoning 5 piercing 5,25 feet,Bestiary pg. 25
30,Lantern Archon,1,LG,Small,"Archon, Celestial",+6; darkvision,"Celestial, Draconic, Infernal","Acrobatics +8, Diplomacy +6, Religion +6",-5,+3,+1,-1,+1,+1,16,+6,+10,+4,20,,fly 40 feet,Bestiary pg. 26
31,Horned Archon,4,LG,Medium,"Archon, Celestial",+11; darkvision,"Celestial, Draconic, Infernal, tongues","Acrobatics +12, Nature +11, Religion +9, Stealth +10, Survival +11 (+15 to Track)",+3,+4,+3,+1,+3,+1,22,+11,+10,+11; +1 status to all saves vs. magic,65,,35 feet,Bestiary pg. 27
32,Legion Archon,7,LG,Medium,"Archon, Celestial",+15; darkvision,"Celestial, Draconic, Infernal, tongues","Acrobatics +13, Athletics +14, Diplomacy +16, Intimidation +16, Religion +13, Survival +14",+5,+2,+4,+1,+2,+5,27,+17,+11,+15; +1 status to all saves vs. magic,100,,"30 feet, fly 60 feet",Bestiary pg. 28
33,Shield Archon,10,LG,Large,"Archon, Celestial",+19; darkvision,"Celestial, Draconic, Infernal, tongues","Athletics +21, Diplomacy +19, Intimidation +19, Religion +19, Survival +17",+5,+1,+7,+2,+3,+3,31 (33 with shield raised),+23,+15,+19; +1 status to all saves vs. magic,125,,"30 feet, fly 60 feet",Bestiary pg. 29
34,Lyrakien (Wanderer Azata),1,CG,Tiny,"Azata, Celestial",+8; darkvision,"Celestial, Common, Draconic, Infernal","Acrobatics +9, Diplomacy +6, Performance +8, Religion +6, Stealth +7",-2,+4,+1,+1,+3,+3,17,+4,+7,+6,25,,"25 feet, fly 50 feet",Bestiary pg. 30
35,Gacanagh (Passion Azata),4,,Medium,"Azata, Celestial, Holy",+11;,"Diabolic, Draconic, Empyrean, truespeech","Athletics +9, Deception +13, Diplomacy +13, Performance +14, Religion +9, Stealth +11",+1,+5,+3,+2,+1,+5,21,+9,+13,+11,75,,30 feet,Monster Core pg. 32
36,Lillend (Muse Azata),7,CG,Large,"Azata, Celestial",+16; darkvision,"Celestial, Draconic, Infernal, speak with animals, speak with plants, tongues","Acrobatics +14, Deception +16, Diplomacy +18, Nature +14, Performance +20, Religion +14, Survival +12",+4,+3,+5,+2,+3,+5,25,+14,+16,+16,145,,"25 feet, fly 45 feet",Bestiary pg. 32
37,Ghaele (Crusader Azata),13,CG,Medium,"Azata, Celestial","+25; darkvision,","Celestial, Draconic, Infernal, tongues","Acrobatics +27, Athletics +26, Diplomacy +26, Nature +23, Religion +23, Stealth +21, Warfare Lore +26",+7,+4,+5,+3,+4,+5,34,+26,+20,+23,235,energy 15 (see Choose Weakness),"35 feet, fly 100 feet",Bestiary pg. 33
40,Baomal,20,CN,Gargantuan,"Aberration, Aquatic","+34; darkvision, scent (imprecise) 80 feet",Aklo,"Athletics +41, Stealth +31, Survival +37",+10,+2,+8,-3,+6,+1,48,+36,+30,+34,315,physical 10,"50 feet, swim 80 feet",Bestiary pg. 35
41,Barghest,4,CE,Medium,Fiend,"+12; darkvision, scent (imprecise) 30 feet","Abyssal, Common, Goblin","Acrobatics +10, Deception +12, Diplomacy +9, Intimidation +11, Stealth +10, Survival +8",+5,+2,+3,+2,+2,+3,21,+11,+12,+8,50,,25 feet,Bestiary pg. 36
43,Greater Barghest,7,CE,Large,"Fiend, Mutant","+16; darkvision, scent (imprecise) 30 feet","Abyssal, Common, Goblin","Acrobatics +15, Athletics +15, Deception +18, Diplomacy +14, Intimidation +16, Stealth +15, Survival +14",+6,+2,+4,+3,+3,+5,25,+17,+15,+12,105,,35 feet,Bestiary pg. 37
45,Vampire Bat Swarm,1,N,Large,"Animal, Swarm","+10; echolocation (precise) 20 feet, low-light vision",UNKNOWN,"Acrobatics +7, Athletics +4 (+7 to Climb), Stealth +7",+1,+4,+1,-4,+3,-3,15,+6,+9,+6,11,bludgeoning 6 piercing 6 slashing 3,"5 feet, fly 30 feet",Bestiary pg. 39
46,Giant Bat,2,N,Large,Animal,"+11; echolocation (precise) 40 feet, low-light vision",UNKNOWN,"Acrobatics +8, Athletics +8, Stealth +8",+4,+2,+3,-4,+3,-2,18,+9,+8,+7,30,,"15 feet, fly 30 feet",Bestiary pg. 39
